    molid1      molid2     ss1     ss2   sim12   Sscore
      1398     30713  41.329  49.749  25.303  0.3847
      1398    381102  41.329  44.879  37.915  0.7851
      1398   1794855  41.329  49.839  23.760  0.3525
      1398    201444  41.329  44.889  31.752  0.5830
      1398    432579  41.329  62.798  24.507  0.3078
      1398    201575  41.329  51.718  32.385  0.5339
      1398    440390  41.329  50.298  29.479  0.4743
      1398   1672288  41.329  58.838  27.900  0.3861
      1398    345349  41.329  74.778  25.800  0.2857
      1398    379673  41.329  69.558  26.089  0.3077
      1398     50498  41.329  69.898  28.152  0.3389
      1398   1829958  41.329  74.368  28.051  0.3201
      1398   1829959  41.329  73.828  28.636  0.3310
      1398   1829961  41.329  74.368  28.056  0.3201
      1398    201093  41.329  68.338  27.837  0.3402
      1398    201561  41.329  73.178  26.150  0.2960
      1398    229429  41.329  62.368  28.014  0.3702
      1398   2420769  41.329  65.628  26.674  0.3322
      1398    554303  41.329  80.868  32.386  0.3606
      1398    557171  41.329  80.868  32.507  0.3624
      1398    186720  41.329  65.508  31.862  0.4250
      1398    201483  41.329  72.788  26.503  0.3025
      1398    201525  41.329  72.378  27.005  0.3115
      1398     24077  41.329  78.908  32.546  0.3711
      1398   2420770  41.329  70.068  26.579  0.3134
      1398   2420771  41.329  70.068  26.566  0.3132
      1398   2420774  41.329  70.068  27.583  0.3291
      1398   2420775  41.329  69.558  26.576  0.3152
      1398   2420776  41.329  69.558  26.565  0.3150
      1398   2420778  41.329  69.558  27.552  0.3306
      1398    286080  41.329  73.188  32.666  0.3991
      1398   3115585  41.329  70.038  30.520  0.3775
      1398    535374  41.329  85.188  32.387  0.3441
      1398    556194  41.329  84.738  32.721  0.3505
      1398    557582  41.329  85.188  32.266  0.3423
      1398    557781  41.329  84.778  32.863  0.3524
      1398       589  41.329  66.608  27.607  0.3437
      1398    593626  41.329  78.458  28.458  0.3116
      1398    593897  41.329  77.738  28.399  0.3132
      1398   1077189  41.329  92.068  25.655  0.2381
      1398    201170  41.329  76.618  28.687  0.3214
      1398    134807  41.329  78.198  32.544  0.3741
      1398   1814790  41.329  83.508  31.654  0.3397
      1398    201142  41.329  75.608  27.599  0.3089
      1398    201739  41.329  91.528  25.576  0.2384
      1398    203689  41.329  77.018  29.070  0.3256
      1398    217299  41.329  83.008  30.662  0.3273
      1398   2391541  41.329  74.708  26.370  0.2941
      1398   2420772  41.329  74.408  26.433  0.2960
      1398   2420777  41.329  73.898  26.433  0.2977
      1398    382010  41.329  76.638  28.717  0.3218
      1398    396950  41.329  75.698  28.999  0.3294
      1398    534478  41.329  90.008  32.267  0.3257
      1398    553690  41.329  90.008  32.146  0.3241
      1398    557782  41.329  89.118  32.743  0.3351
      1398    558364  41.329  89.078  32.593  0.3332
      1398    593395  41.329  82.178  28.802  0.3041
      1398    594557  41.329  81.958  28.916  0.3064
      1398    594798  41.329  76.778  30.219  0.3438
