    molid1      molid2     ss1     ss2   sim12   Sscore
   2170045   2170216  96.408  87.628  73.681  0.6677
   2170045   2170217  96.408  83.978  67.385  0.5963
   2170045   2170218  96.408  91.488  68.669  0.5760
   2170045   2170219  96.408  82.988  65.637  0.5770
   2170045   2170220  96.408  86.848  65.011  0.5498
   2170045   2170221  96.408  90.628  74.573  0.6631
   2170045   2170222  96.408  86.998  68.204  0.5920
   2170045   2170223  96.408  90.628  70.149  0.6002
   2170045   2170224  96.408 115.937  76.353  0.5615
   2170045   2170225  96.408  84.618  74.205  0.6947
   2170045   2170226  96.408  80.938  67.616  0.6162
   2170045   2170227  96.408  84.618  70.027  0.6309
   2170045   2170228  96.408  88.098  72.380  0.6455
   2170045   2170229  96.408  88.498  71.517  0.6307
   2170045   2170230  96.408 125.937  76.413  0.5236
   2170045   2170231  96.408  88.498  68.981  0.5951
   2170045   2170232  96.408 102.737  71.200  0.5565
   2170045   2170233  96.408 110.007  77.313  0.5989
   2170045   2170234  96.408  77.748  61.195  0.5417
   2170045   2170235  96.408  87.628  67.789  0.5832
   2170045   2170236  96.408  80.938  63.141  0.5529
   2170045   2170237  96.408  79.968  69.896  0.6564
   2170045   2170238  96.408  76.308  63.354  0.5793
   2170045   2170239  96.408  79.968  65.739  0.5942
   2170045   2324614  96.408  85.208  50.952  0.3899
   2170045   2324615  96.408  82.318  53.567  0.4280
   2170045   2338336  96.408 113.357  61.842  0.4181
   2170045   2338337  96.408 117.157  61.713  0.4064
   2170045   2338338  96.408 110.447  55.475  0.3665
   2170045   2338339  96.408 117.977  61.194  0.3995
   2170045   2338340  96.408 105.118  60.911  0.4332
   2170045   2338341  96.408 117.977  65.025  0.4354
   2170045   2338342  96.408 117.647  62.076  0.4085
   2170045   2338343  96.408 121.777  62.716  0.4034
   2170045   2338344  96.408 121.777  65.358  0.4277
   2170045   2338345  96.408 129.687  68.049  0.4306
   2170045   2338759  96.408 151.246  68.701  0.3839
   2170045   2338760  96.408 117.977  58.558  0.3758
   2170045   2338761  96.408 117.977  58.558  0.3758
   2170045   2338762  96.408 121.777  62.208  0.3988
